2014-10-13 18:41:02 install zlib1g <none> 1:1.2.3.4.dfsg-3
2014-10-13 18:41:02 status half-installed zlib1g 1:1.2.3.4.dfsg-3
2014-10-13 18:41:02 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2014-10-13 18:41:02 status unpacked zlib1g 1:1.2.3.4.dfsg-3
2014-10-13 18:41:02 startup packages configure
2014-10-13 18:41:02 configure ncurses-base 5.7+20100313-5 5.7+20100313-5
2014-10-13 18:41:02 status unpacked ncurses-base 5.7+20100313-5
2014-10-13 18:41:02 status unpacked ncurses-base 5.7+20100313-5
2014-10-13 18:41:02 status half-configured ncurses-base 5.7+20100313-5
2014-10-13 18:41:02 status installed ncurses-base 5.7+20100313-5
2014-10-13 18:41:02 configure sensible-utils 0.0.4 0.0.4
2014-10-13 18:41:02 status unpacked sensible-utils 0.0.4
2014-10-13 18:41:02 status half-configured sensible-utils 0.0.4
2014-10-13 18:41:02 status installed sensible-utils 0.0.4
2014-10-13 18:41:02 configure libc-bin 2.11.3-4 2.11.3-4
2014-10-13 18:41:02 status unpacked libc-bin 2.11.3-4
2014-10-13 18:41:02 status unpacked libc-bin 2.11.3-4
2014-10-13 18:41:02 status unpacked libc-bin 2.11.3-4
2014-10-13 18:41:02 status unpacked libc-bin 2.11.3-4
2014-10-13 18:41:02 status half-configured libc-bin 2.11.3-4
2014-10-13 18:41:02 status installed libc-bin 2.11.3-4
2014-10-13 18:41:02 configure gcc-4.4-base 4.4.5-8 4.4.5-8
2014-10-13 18:41:02 status unpacked gcc-4.4-base 4.4.5-8
2014-10-13 18:41:02 status half-configured gcc-4.4-base 4.4.5-8
2014-10-13 18:41:02 status installed gcc-4.4-base 4.4.5-8
2014-10-13 18:41:02 configure libc6 2.11.3-4 2.11.3-4
2014-10-13 18:41:02 status unpacked libc6 2.11.3-4
2014-10-13 18:41:02 status unpacked libc6 2.11.3-4
2014-10-13 18:41:02 status half-configured libc6 2.11.3-4
2014-10-13 18:41:04 status installed libc6 2.11.3-4
2014-10-13 18:41:04 configure debianutils 3.4 3.4
2014-10-13 18:41:04 status unpacked debianutils 3.4
2014-10-13 18:41:04 status half-configured debianutils 3.4
2014-10-13 18:41:04 status installed debianutils 3.4
2014-10-13 18:41:04 configure bsdutils 1:2.17.2-9 1:2.17.2-9
2014-10-13 18:41:04 status unpacked bsdutils 1:2.17.2-9
2014-10-13 18:41:04 status half-configured bsdutils 1:2.17.2-9
2014-10-13 18:41:04 status installed bsdutils 1:2.17.2-9
2014-10-13 18:41:04 configure libsepol1 2.0.41-1 2.0.41-1
2014-10-13 18:41:04 status unpacked libsepol1 2.0.41-1
2014-10-13 18:41:04 status half-configured libsepol1 2.0.41-1
2014-10-13 18:41:04 status installed libsepol1 2.0.41-1
2014-10-13 18:41:04 configure libgcc1 1:4.4.5-8 1:4.4.5-8
2014-10-13 18:41:04 status unpacked libgcc1 1:4.4.5-8
2014-10-13 18:41:04 status half-configured libgcc1 1:4.4.5-8
2014-10-13 18:41:04 status installed libgcc1 1:4.4.5-8
2014-10-13 18:41:04 configure libncurses5 5.7+20100313-5 5.7+20100313-5
2014-10-13 18:41:04 status unpacked libncurses5 5.7+20100313-5
2014-10-13 18:41:04 status half-configured libncurses5 5.7+20100313-5
2014-10-13 18:41:04 status installed libncurses5 5.7+20100313-5
2014-10-13 18:41:04 configure libattr1 1:2.4.44-2 1:2.4.44-2
2014-10-13 18:41:04 status unpacked libattr1 1:2.4.44-2
2014-10-13 18:41:04 status half-configured libattr1 1:2.4.44-2
2014-10-13 18:41:04 status installed libattr1 1:2.4.44-2
2014-10-13 18:41:04 configure e2fslibs 1.41.12-4stable1 1.41.12-4stable1
2014-10-13 18:41:04 status unpacked e2fslibs 1.41.12-4stable1
2014-10-13 18:41:04 status half-configured e2fslibs 1.41.12-4stable1
2014-10-13 18:41:04 status installed e2fslibs 1.41.12-4stable1
2014-10-13 18:41:04 configure base-passwd 3.5.22 3.5.22
2014-10-13 18:41:04 status unpacked base-passwd 3.5.22
2014-10-13 18:41:04 status half-configured base-passwd 3.5.22
2014-10-13 18:41:04 status installed base-passwd 3.5.22
2014-10-13 18:41:04 configure libcomerr2 1.41.12-4stable1 1.41.12-4stable1
2014-10-13 18:41:04 status unpacked libcomerr2 1.41.12-4stable1
2014-10-13 18:41:04 status half-configured libcomerr2 1.41.12-4stable1
2014-10-13 18:41:04 status installed libcomerr2 1.41.12-4stable1
2014-10-13 18:41:04 configure mawk 1.3.3-15 1.3.3-15
2014-10-13 18:41:04 status unpacked mawk 1.3.3-15
2014-10-13 18:41:04 status half-configured mawk 1.3.3-15
2014-10-13 18:41:04 status installed mawk 1.3.3-15
2014-10-13 18:41:04 configure libdb4.8 4.8.30-2 4.8.30-2
2014-10-13 18:41:04 status unpacked libdb4.8 4.8.30-2
2014-10-13 18:41:04 status half-configured libdb4.8 4.8.30-2
2014-10-13 18:41:04 status installed libdb4.8 4.8.30-2
2014-10-13 18:41:04 configure hostname 3.04 3.04
2014-10-13 18:41:04 status unpacked hostname 3.04
2014-10-13 18:41:04 status half-configured hostname 3.04
2014-10-13 18:41:04 status installed hostname 3.04
2014-10-13 18:41:04 configure libacl1 2.2.49-4 2.2.49-4
2014-10-13 18:41:04 status unpacked libacl1 2.2.49-4
2014-10-13 18:41:04 status half-configured libacl1 2.2.49-4
2014-10-13 18:41:04 status installed libacl1 2.2.49-4
2014-10-13 18:41:04 configure libslang2 2.2.2-4 2.2.2-4
2014-10-13 18:41:04 status unpacked libslang2 2.2.2-4
2014-10-13 18:41:04 status half-configured libslang2 2.2.2-4
2014-10-13 18:41:04 status installed libslang2 2.2.2-4
2014-10-13 18:41:04 configure libss2 1.41.12-4stable1 1.41.12-4stable1
2014-10-13 18:41:04 status unpacked libss2 1.41.12-4stable1
2014-10-13 18:41:04 status half-configured libss2 1.41.12-4stable1
2014-10-13 18:41:04 status installed libss2 1.41.12-4stable1
2014-10-13 18:41:04 configure liblzma2 5.0.0-2 5.0.0-2
2014-10-13 18:41:04 status unpacked liblzma2 5.0.0-2
2014-10-13 18:41:04 status half-configured liblzma2 5.0.0-2
2014-10-13 18:41:04 status installed liblzma2 5.0.0-2
